,10대(남),20대(남),30대(남),40대(남),50대(남),60대 이상(남),10대(여),20대(여),30대(여),40대(여),50대(여),60대 이상(여)
가야산,1.2,2.7,6.2,10.9,16.7,14.5,1,1.8,5.8,9.3,15.5,14.5
경주,3.5,7.1,8.5,13,13.3,10,3.2,5.8,6.8,9.8,10.4,8.6
계룡산,1.8,5.7,8.3,13.6,15.4,11,1.7,4.3,6.3,10.7,12.6,8.7
내장산,1.1,2.1,5.5,10.8,16.1,16.2,1.3,1.8,5.1,9.7,16.8,13.8
다도해해상,1.5,2.9,9.5,14.4,18.7,16.1,1.2,1.8,5.4,7.1,10.9,10.5
덕유산,1.8,3,10.6,16.5,17,11,2,2.6,6.5,9.6,10.7,8.8
무등산,3,5.1,7.4,10.2,12.4,12.4,3.4,5.2,7.4,9.6,12.7,11.2
변산반도,1.7,3.9,8.3,12.7,15.9,14,1.8,3,6.4,9.8,11.3,11.3
북한산,3.9,7.1,7.4,9.6,11.1,10.2,4.4,6.4,7.5,10.5,11.5,10.6
설악산,1.2,3.4,6.1,11.2,16.7,14.6,1.3,2.3,5.1,9.4,16.3,12.4
소백산,1.4,3.7,7.3,14.7,17.5,16.1,1.2,2.2,4.7,6.9,12.6,11.7
속리산,1.8,2.8,5.8,12.4,17.4,15.4,1.6,2.5,4.9,8.7,14.7,12
오대산,0.7,1.9,5.7,12,16.8,15.4,0.9,1.3,5.4,9.4,16.9,13.4
월악산,1.3,2,6.3,12.2,19.4,16.3,1,1.8,5,8.3,14.1,12.4
월출산,2.7,3.1,8.6,13.6,16.3,14.4,2.7,2.4,5.1,8.5,11.8,11
주왕산,1,2.1,7,13.4,16.7,15.1,0.9,1.9,4.4,9,15.6,13
지리산,1.9,2,5.6,14.4,17.8,13.9,1.5,1.7,4.4,9.5,15.1,12.3
치악산,2.2,3.5,7.2,12,16.3,12.8,1.9,3.1,6,10.5,14.6,10
태안해안,1.5,5.3,12,15.9,16.1,12.7,1.3,2.7,6.2,7.5,9.6,9.3
한라산,2.9,4.8,10.7,17.5,16.8,9.4,1.8,3.4,6,9.8,10.9,6
한려해상,1.4,3.4,8.3,14.1,18,17.2,1.2,2.5,5,7.7,11.5,10
태백산,2,3.2,8.2,13.9,17,13.3,2,2,6.1,9.3,11.5,11.5
