,10대(남),20대(남),30대(남),40대(남),50대(남),60대 이상(남),10대(여),20대(여),30대(여),40대(여),50대(여),60대 이상(여)
가야산,0.8,3,6.4,10.4,18.8,14.5,0.5,1.4,5,9.5,16,13.8
경주,3.9,8.1,8.3,13.1,12.8,9,3.5,6.5,7.2,10,9.9,7.6
계룡산,1.8,6.8,8.4,13.5,15.5,10.1,1.8,4.6,6.5,10.5,12.6,7.8
내장산,0.8,2.9,7.5,13,17.4,14.5,1,2.4,5.6,10.4,13.2,11.3
다도해해상,1.4,2.6,9.7,14.3,18.2,15.6,1.1,1.6,5.3,7.3,12.5,10.6
덕유산,2,4.1,12.1,18.1,16.4,9.3,1.7,3.1,6.5,10.7,9.3,6.8
무등산,3.2,5.2,7.7,10.5,12.3,12.2,3.2,5.4,7.5,9.6,12.6,10.7
변산반도,1.4,4,8.4,13.9,16.3,13.8,1.7,2.8,6,9.7,11.1,10.8
북한산,3.7,7.2,7.8,10,11.4,10.1,4.1,6.3,7.5,10.4,11.4,10.1
설악산,1.7,4.8,7.9,13.4,16,12,1.8,2.8,5.9,9.5,13.5,10.8
소백산,0.9,3.9,7.3,14.3,18.7,15.8,0.7,1.9,4.5,7.5,13.5,11.1
속리산,0.9,3.9,7.3,14.3,18.7,15.8,0.7,1.9,4.5,7.5,13.5,11.1
오대산,1.9,4.3,6.3,13.7,17.1,13.7,2.5,3,5.6,8.1,13.3,10.4
월악산,0.4,1.9,6.3,13.9,16.9,15.4,0.6,1.2,5.5,9.2,16.1,12.7
월출산,1,1.9,7.5,13,18.8,16.5,0.8,1.8,4.9,8.3,13.5,12.1
주왕산,2.5,3.3,8.9,14.1,16.9,14,2.6,2.4,5.5,8.7,11.1,10.2
지리산,0.3,2.1,8.7,15.5,19,15,0.4,1.5,5,7.4,12.6,12.6
치악산,1.6,1.5,5.7,15,18.4,13.2,1,1.4,4.9,10,15.6,11.9
태안해안,1.4,5.7,12.3,15.5,16.7,12,1.3,2.8,6,7.8,9.8,8.7
한라산,3.3,5.2,10.1,17.3,17.1,9.4,2.3,3,5.5,9.6,11.5,5.8
한려해상,1.3,3.4,8.1,13.5,17.6,16.1,1.2,2.7,5.4,8.7,12.3,9.9
태백산,1.5,2.1,8.5,14.5,18.5,13.5,1.4,1.6,5.8,8.8,12.8,11.1
