,10대,20대,30대,40대,50대,60대 이상,10대,20대,30대,40대,50대,60대 이상
가야산,1.2,3.5,7,10.4,17.8,13.4,0.6,1.8,5.9,9.2,15.5,13.7
경주,3.4,6.8,8.8,13.7,13.1,9.2,3,5.8,7.7,10.5,10.3,7.8
계룡산,1.5,5.6,8.7,13.6,15.6,10.2,1.5,4.3,7,11.1,12.8,8
내장산,1.3,3.3,7.2,12.8,16.1,14.2,1.6,2.6,6.6,10,13.3,11.2
다도해해상,1.8,3,9.6,14.3,18.3,14.9,1.3,1.9,5.7,7.6,11.5,10.1
덕유산,2.7,4.2,9.9,15.6,14.8,8.4,2.6,3.9,8.2,12.1,10.7,6.9
무등산,3,5.1,7.7,10.2,12.1,12.5,3.1,5.5,7.6,9.4,12.6,11.3
변산반도,2,4.7,8.8,13.7,15.1,12.3,1.8,3.4,7.6,10.4,10.6,9.7
북한산,3.5,6.5,7.9,101,11.7,10.5,3.8,5.5,7.7,10.5,11.8,10.6
설악산,2.1,5,7.8,13.2,15.5,11,2,3.5,6.9,10.7,13.2,9.2
소백산,1.2,3.5,8.2,14.7,18.3,14.4,0.9,2,5.4,7.8,13,10.6
속리산,3,5,7.8,12.9,14.9,11.3,2.6,3.7,6.8,9.3,13.2,9.4
오대산,1,2.1,6.7,13.6,15.8,14,0.9,1.6,6.6,10.3,15.7,11.8
월악산,2,3,8.1,13.2,16.2,13.1,1.6,2.4,7.1,9.8,13.3,10.5
월출산,2.6,3.8,9,13.9,15.5,13,3.3,2.7,6.1,8.8,11.3,10.1
주왕산,0.7,2.7,9,15.6,18.3,14.3,0.5,1.9,5,7.6,12.5,12
지리산,2.7,3.4,6.5,14.5,17,11.2,1.8,2.5,5.9,11.3,13.9,9.5
치악산,2.5,3.6,7.7,13.2,16.2,11.6,2.1,3,6.7,10.9,13.8,8.7
태안해안,1.9,6.1,12.8,15.6,14.4,10.5,1.7,3.3,7.7,8.8,9.3,8
한라산,1.5,5.9,11,18.9,17.1,8.6,1.1,3.6,6.2,10.6,10.3,5.2
한려해상,1.9,4.4,8.7,13.5,16.3,14.6,1.6,4,6.4,9.2,11,8.5
태백산,3.1,4.7,8.7,14.4,16.4,12.2,2.2,2.3,5.6,9.2,11.6,9.6
