,합계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,,,,,,
합계,45332135,2863713,2349454,2996165,3799815,5783215,3007159,3398066,5221392,3293241,6255892,4048318,2315705,,,,,,
지리산,2929709,123277,93695,192674,242973,377480,180405,272806,587009,190362,348371,232625,88032,,,,,,
경주,3057947,191195,160693,240369,266774,441063,298882,275808,206553,270159,352399,225296,128756,,,,,,
계룡산,1653004,93770,90771,120119,138712,196279,115978,133846,173021,133164,229472,146446,81426,,,,,,
한려해상,7049951,448947,457340,632107,808371,1003412,338253,506071,974976,449682,644064,424831,361897,,,,,,
오동도,2854663,212642,259930,324090,420480,370309,87645,165018,318643,182224,207604,147275,158803,,,,,,
설악산,2821271,156309,109020,108178,175186,321032,159062,199385,310020,228860,725572,163756,164891,,,,,,
속리산,1115247,37160,33966,51742,82178,123502,78375,110793,167947,89653,201407,103281,35243,,,,,,
한라산,1255731,150448,103214,87177,121180,160614,74909,53053,74737,82183,149555,95768,102893,,,,,,
내장산,1688948,56269,42079,56181,60380,103963,55135,75888,106295,87563,363588,625135,56472,,,,,,
가야산,717091,31521,31370,49177,61640,92584,36812,42257,78043,45374,129859,83232,35222,,,,,,
덕유산,1759248,340989,169810,44791,54196,130379,67082,134531,266447,81116,213182,119530,137195,,,,,,
오대산,1695725,104271,84761,59315,106801,330525,198993,107842,222214,100247,260438,78480,41838,,,,,,
주왕산,901306,15457,11874,16589,29472,77994,28145,48513,73110,51632,319215,186952,42353,,,,,,
태안해안,1234067,28327,39361,61068,74489,221100,93054,167182,238018,89583,123572,57778,40535,,,,,,
다도해해상,2088412,83078,74057,119666,250055,344351,129921,142088,249680,159371,257560,159530,119055,,,,,,
치악산,616403,34352,28773,32959,30360,66613,48305,51426,70498,56412,109477,59482,27746,,,,,,
월악산,995003,22542,20982,47946,64484,92175,65844,97795,127492,93135,189610,117915,55083,,,,,,
북한산,6371791,452151,403336,611733,543636,758039,536653,422566,562683,543718,712886,473917,350473,,,,,,
소백산,1351661,104785,63370,50465,92439,299990,117069,63432,91182,69509,213480,115057,70883,,,,,,
월출산,485137,12691,13103,33462,120149,56004,22866,32166,52964,32246,50457,41697,17332,,,,,,
변산반도,1934766,82362,82362,121780,192048,270871,99849,169370,255687,121799,243991,195975,98672,,,,,,
무등산,3609717,293812,235517,258667,284292,315245,261567,291248,332816,317473,417737,341635,259708,,,,,,
태백산,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
