,합계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
합계,47277955,2987576,2634475,3171399,4339773,5153012,3626204,3479588,4831452,3415746,6678909,4707025,2252796
지리산,3067190,107601,100812,198562,251101,326748,185774,329841,627240,185305,375832,281309,97065
경주,2948636,145721,113284,158049,257127,286059,291629,247314,296645,258157,370580,394126,129945
계룡산,1721735,99147,86278,122358,158515,177100,151760,132272,146749,152555,237535,172449,85017
한려해상,7157772,490332,536519,693771,912564,1024175,541279,504234,722841,430710,664173,334495,302679
오동도,3146163,273255,233789,338813,418988,423668,233437,217313,299459,190897,259548,111422,145574
설악산,3693991,149449,162555,138402,250312,311479,282934,236728,392265,312577,961074,325420,170796
속리산,1349381,37042,39517,57928,97613,152439,145895,106029,160747,137151,226337,139803,48880
한라산,1001437,108710,91637,65443,73391,108598,76197,52256,54192,62086,119103,95993,93831
내장산,2102467,56798,48910,69638,99674,124409,100329,158261,184612,154638,392118,648897,64183
가야산,860181,37415,31359,44865,72420,97068,69526,56864,69533,56663,161037,134426,29005
덕유산,1731939,267209,185400,44458,65107,115158,97989,156887,232124,82703,210246,149889,124769
오대산,1510658,107836,101068,64449,93082,138449,113592,102451,163489,110465,331702,112939,71136
주왕산,1312445,20564,18955,22674,49292,75488,50659,57402,80903,59498,445069,398391,33550
태안해안,1059775,26719,32476,55044,77548,133956,103607,141966,203992,80797,113974,51779,37917
다도해해상,2338866,115213,102806,163349,327116,380118,200535,184050,226485,154456,241089,135002,108647
치악산,670880,36945,36217,33763,48727,59832,65666,57785,72113,61584,115434,49727,33087
월악산,1055621,31402,44816,86187,101328,117723,92954,90710,109957,72365,145223,117159,45797
북한산,5955251,386677,356934,604436,622432,654876,501305,403904,466229,522914,675508,451023,309013
소백산,1224129,80149,63991,49911,88487,207665,123003,54958,69217,61595,212026,121116,92011
월출산,508118,14242,15731,38445,181970,40370,23006,26551,34691,32842,42937,44294,13039
변산반도,1897231,92022,91757,128622,226806,265109,123031,117095,195464,133676,207194,213357,103098
무등산,3513576,319404,309144,319232,270653,322735,250001,233870,281533,267978,389862,318035,231129
태백산,596676,256979,64309,11813,14508,33458,35533,28160,40431,25031,40856,17396,28202
